EQUIPMENT,IMPORTANCE,ERR_CODE,DESCRIPTION,PROCESS_METHOD,RESET_AVAILABLE
CNV,상,1,NFB TRIP/EMG BUNTTON,EMG(비상 정지) 버튼 누름,X
CNV,상,2,INVERTER ERROR,인버터의 에러 (가감속에 의한 에러),O
CNV,하,3,TIME OVER,컨베이어 구동에 따라 시간내 센서동작 없음,O
CNV,하,4,NOT FOUND DATA,"화물 있고, DATA 없음. 실물 확인",X
CNV,하,5,EXIST DATA,"화물 없고, DATA 있음. 실물 확인",X
CNV,하,6,NOT FOUND DATA,"화물 있고, DATA 없음. 실물 확인",X
CNV,하,7,EXIST DATA,"화물 없고, DATA 있음. 실물 확인",X
CNV,하,8,NOT FOUND DATA,"화물 있고, DATA 없음. 실물 확인",X
CNV,하,9,EXIST DATA,"화물 없고, DATA 있음. 실물 확인",X
CNV,하,10,CYLINDER ACTION ERROR,시간내 실린더의 동작이 완료되지 않음,O
CNV,하,11,CYLINDER SENSOR ERROR,실린더 동작이 없어도 감지되고 있음,△
CNV,하,12,TIRE COUNT MISS,실제수량 파악 필요,X
CNV,하,13,CELL DATA REMAINED,이전 DATA 남아있음 (실물 있는지 확인 필요),X
STC,상,1,EMERGENCY STOP (GP),EMG(비상 정지) 버튼 누름,X
STC,상,2,EMERGENCY STOP (MP),EMG(비상 정지) 버튼 누름,X
STC,상,3,EMERGENCY STOP (PEN),EMG(비상 정지) 버튼 누름,X
STC,하,5,MODE CHANGED IN MACHINE OPERATION,동작 완료 전 수동/자동 변경됨,X
STC,중,11,TRAVEL 1 FORWARD LIMIT DETECTED,"LIMIT 센서 감지, 육안 확인 필요",X
STC,중,12,TRAVEL 1 BACKWARD LIMIT DETECTED,"LIMIT 센서 감지, 육안 확인 필요",X
STC,중,13,TRAVEL 2 FORWARD LIMIT DETECTED,"LIMIT 센서 감지, 육안 확인 필요",X
STC,중,14,TRAVEL 2 BACKWARD LIMIT DETECTED,"LIMIT 센서 감지, 육안 확인 필요",X
STC,중,15,TRAVEL 1 FOWARD HIGH SPEED CUT POSITION VALUE NOT MATCHED,SPEED CUT 세팅 확인 필요,X
STC,중,16,TRAVEL 1 BACKWARD HIGH SPEED CUT POSITION VALUE NOT MATCHED,SPEED CUT 세팅 확인 필요,X
STC,중,17,TRAVEL 2 FOWARD HIGH SPEED CUT POSITION VALUE NOT MATCHED,SPEED CUT 세팅 확인 필요,X
STC,중,18,TRAVEL 2 BACKWARD HIGH SPEED CUT POSITION VALUE NOT MATCHED,SPEED CUT 세팅 확인 필요,X
STC,중,19,TRAVEL 1 HOME POSITION VALUE NOT MATCHED,"HOME POSITION 이상, 충돌위험이 있어 확인 필요",X
STC,중,20,TRAVEL 2 HOME POSITION VALUE NOT MATCHED,"HOME POSITION 이상, 충돌위험이 있어 확인 필요",X
STC,중,21,HOIST 1 UP LIMIT DETECTED,"LIMIT 센서 감지, 육안 확인 필요",X
STC,중,22,HOIST 1 DOWN LIMIT DETECTED,"LIMIT 센서 감지, 육안 확인 필요",X
STC,중,25,HOIST 1 UP HIGH SPEED CUT POSITION VALUE NOT MATCHED,SPEED CUT 세팅 확인 필요,X
STC,중,26,HOIST 1 DOWN HIGH SPEED CUT POSITION VALUE NOT MATCHED,SPEED CUT 세팅 확인 필요,X
STC,중,27,HOIST 2 UP HIGH SPEED CUT POSITION VALUE NOT MATCHED,SPEED CUT 세팅 확인 필요,X
STC,중,28,HOIST 2 DOWN HIGH SPEED CUT POSITION VALUE NOT MATCHED,SPEED CUT 세팅 확인 필요,X
STC,중,29,HOIST 1 HOME POSITION VALUE NOT MATCHED,"HOME POSITION 이상, 충돌위험이 있어 확인 필요",X
STC,중,30,HOIST 2 HOME POSITION VALUE NOT MATCHED,"HOME POSITION 이상, 충돌위험이 있어 확인 필요",X
STC,중,31,FORK LEFT STROKE LIMIT DETECT,"LIMIT 센서 감지, 육안 확인 필요",X
STC,중,32,FORK RIGHT STROKE LIMIT DETECT,"LIMIT 센서 감지, 육안 확인 필요",X
STC,중,33,FORK2 LEFT STROKE LIMIT DETECT,"LIMIT 센서 감지, 육안 확인 필요",X
STC,중,34,FORK2 RIGHT STROKE LIMIT DETECT,"LIMIT 센서 감지, 육안 확인 필요",X
STC,중,35,FORK 1 LEFT SPEED CUT POSITION VALUE NOT MATCHED,SPEED CUT 세팅 확인 필요,X
STC,중,36,FORK 1 RIGHT SPEED CUT POSITION VALUE NOT MATCHED,SPEED CUT 세팅 확인 필요,X
STC,중,37,FORK 2 LEFT SPEED CUT POSITION VALUE NOT MATCHED,SPEED CUT 세팅 확인 필요,X
STC,중,38,FORK 2 RIGHT SPEED CUT POSITION VALUE NOT MATCHED,SPEED CUT 세팅 확인 필요,X
STC,중,39,FORK 1 HOME POSITION VALUE NOT MATCHED,"HOME POSITION 이상, 충돌위험이 있어 확인 필요",X
STC,중,40,FORK2 HOME POSITION VALUE NOT MATCHED,"HOME POSITION 이상, 충돌위험이 있어 확인 필요",X
STC,중,41,WIRE CUT DETECT (FORWARD 1),HOIST WIRE 감지 센서 이상. WIRE 센서 점검,X
STC,중,42,WIRE CUT DETECT (FORWARD 2),HOIST WIRE 감지 센서 이상. WIRE 센서 점검,X
STC,중,43,WIRE CUT DETECT (BACKWARD 1),HOIST WIRE 감지 센서 이상. WIRE 센서 점검,X
STC,중,44,WIRE CUT DETECT (BACKWARD 2),HOIST WIRE 감지 센서 이상. WIRE 센서 점검,X
STC,상,46,HOIST SAFETY GORVERNOR ACT ON,"승강 추락확인용 WIRE 동작 센서 이상, 육안 확인 필요",X
STC,상,47,HOIST SAFETY GORVERNOR WIRE CUT,"승강 추락확인용 WIRE 센서 이상, 육안 확인 필요",X
STC,중,51,MAST TILTED FOWARD DIRECTION,승강 MAST 기울어짐 센서 이상. 육안 확인필요,X
STC,중,52,MAST TILTED BACKWARD DIRECCTION,승강 MAST 기울어짐 센서 이상. 육안 확인필요,X
STC,상,61,LOAD OVER WEIGHT,무게 오버,△
STC,중,62,LOAD WEIGHT DATA ERROR,무게 데이터 이상,△
STC,하,81,SYNC COLLISION CHECK,SYNC 동작 중 정지 이상,X
STC,하,82,SYNC SLAVE ERROR CONDITION,SYNC - 2호 시작 조건 이상,X
STC,하,83,SYNC SLAVE POSITION DATA ERROR,SYNC - 2호 위치 데이터 이상,X
STC,하,84,SYNC SLAVE NOT AUTORUN,SYNC - 2호 자동 미시작,X
STC,하,85,SYNC SLAVE DODGE ERROR,SYNC - 두대 근접 에러,X
STC,상,101,SAFETY DOOR 01 - EMG,"DOOR 관련, 육안 확인 필요",X
STC,상,102,SAFETY DOOR 02 - EMG,"DOOR 관련, 육안 확인 필요",X
STC,상,103,SAFETY DOOR 03 - EMG,"DOOR 관련, 육안 확인 필요",X
STC,상,104,SAFETY DOOR 04 - EMG,"DOOR 관련, 육안 확인 필요",X
STC,상,105,SAFETY DOOR 05 - EMG,"DOOR 관련, 육안 확인 필요",X
STC,상,106,SAFETY DOOR 06 - EMG,"DOOR 관련, 육안 확인 필요",X
STC,상,107,SAFETY DOOR 07 - EMG,"DOOR 관련, 육안 확인 필요",X
STC,상,108,SAFETY DOOR 08 - EMG,"DOOR 관련, 육안 확인 필요",X
STC,상,109,SAFETY DOOR 09 - EMG,"DOOR 관련, 육안 확인 필요",X
STC,상,110,SAFETY DOOR 10 - EMG,"DOOR 관련, 육안 확인 필요",X
STC,상,111,SAFETY DOOR 01 - OPENED,"DOOR 관련, 육안 확인 필요",X
STC,상,112,SAFETY DOOR 02 - OPENED,"DOOR 관련, 육안 확인 필요",X
STC,상,113,SAFETY DOOR 03 - OPENED,"DOOR 관련, 육안 확인 필요",X
STC,상,114,SAFETY DOOR 04 - OPENED,"DOOR 관련, 육안 확인 필요",X
STC,상,115,SAFETY DOOR 05 - OPENED,"DOOR 관련, 육안 확인 필요",X
STC,상,116,SAFETY DOOR 06 - OPENED,"DOOR 관련, 육안 확인 필요",X
STC,상,117,SAFETY DOOR 07 - OPENED,"DOOR 관련, 육안 확인 필요",X
STC,상,118,SAFETY DOOR 08 - OPENED,"DOOR 관련, 육안 확인 필요",X
STC,상,119,SAFETY DOOR 09 - OPENED,"DOOR 관련, 육안 확인 필요",X
STC,상,120,SAFETY DOOR 10 - OPENED,"DOOR 관련, 육안 확인 필요",X
STC,상,121,SAFETY DOOR 01 (FIREFIGHTING) - EMG,"방화 DOOR 관련, 육안 확인 필요",X
STC,상,122,SAFETY DOOR 02 (FIREFIGHTING) - EMG,"방화 DOOR 관련, 육안 확인 필요",X
STC,상,123,SAFETY DOOR 03 (FIREFIGHTING) - EMG,"방화 DOOR 관련, 육안 확인 필요",X
STC,상,124,SAFETY DOOR 04 (FIREFIGHTING) - EMG,"방화 DOOR 관련, 육안 확인 필요",X
STC,상,125,SAFETY DOOR 05 (FIREFIGHTING) - EMG,"방화 DOOR 관련, 육안 확인 필요",X
STC,상,126,SAFETY DOOR 06 (FIREFIGHTING) - EMG,"방화 DOOR 관련, 육안 확인 필요",X
STC,상,127,SAFETY DOOR 07 (FIREFIGHTING) - EMG,"방화 DOOR 관련, 육안 확인 필요",X
STC,상,128,SAFETY DOOR 08 (FIREFIGHTING) - EMG,"방화 DOOR 관련, 육안 확인 필요",X
STC,상,129,SAFETY DOOR 09 (FIREFIGHTING) - EMG,"방화 DOOR 관련, 육안 확인 필요",X
STC,상,130,SAFETY DOOR 10 (FIREFIGHTING) - EMG,"방화 DOOR 관련, 육안 확인 필요",X
STC,상,131,SAFETY DOOR 01 (FIREFIGHTING) - OPENED,"방화 DOOR 관련, 육안 확인 필요",X
STC,상,132,SAFETY DOOR 02 (FIREFIGHTING) - OPENED,"방화 DOOR 관련, 육안 확인 필요",X
STC,상,133,SAFETY DOOR 03 (FIREFIGHTING) - OPENED,"방화 DOOR 관련, 육안 확인 필요",X
STC,상,134,SAFETY DOOR 04 (FIREFIGHTING) - OPENED,"방화 DOOR 관련, 육안 확인 필요",X
STC,상,135,SAFETY DOOR 05 (FIREFIGHTING) - OPENED,"방화 DOOR 관련, 육안 확인 필요",X
STC,상,136,SAFETY DOOR 06 (FIREFIGHTING) - OPENED,"방화 DOOR 관련, 육안 확인 필요",X
STC,상,137,SAFETY DOOR 07 (FIREFIGHTING) - OPENED,"방화 DOOR 관련, 육안 확인 필요",X
STC,상,138,SAFETY DOOR 08 (FIREFIGHTING) - OPENED,"방화 DOOR 관련, 육안 확인 필요",X
STC,상,139,SAFETY DOOR 09 (FIREFIGHTING) - OPENED,"방화 DOOR 관련, 육안 확인 필요",X
STC,상,140,SAFETY DOOR 10 (FIREFIGHTING) - OPENED,"방화 DOOR 관련, 육안 확인 필요",X
STC,상,151,SAFETY LIGHT CURTAIN 01 ACT ON,"LIGHT CURTAIN 관련, 육안 확인 필요",X
STC,상,152,SAFETY LIGHT CURTAIN 02 ACT ON,"LIGHT CURTAIN 관련, 육안 확인 필요",X
STC,상,153,SAFETY LIGHT CURTAIN 03 ACT ON,"LIGHT CURTAIN 관련, 육안 확인 필요",X
STC,상,154,SAFETY LIGHT CURTAIN 04 ACT ON,"LIGHT CURTAIN 관련, 육안 확인 필요",X
STC,상,155,SAFETY LIGHT CURTAIN 05 ACT ON,"LIGHT CURTAIN 관련, 육안 확인 필요",X
STC,상,156,SAFETY LIGHT CURTAIN 06 ACT ON,"LIGHT CURTAIN 관련, 육안 확인 필요",X
STC,상,157,SAFETY LIGHT CURTAIN 07 ACT ON,"LIGHT CURTAIN 관련, 육안 확인 필요",X
STC,상,158,SAFETY LIGHT CURTAIN 08 ACT ON,"LIGHT CURTAIN 관련, 육안 확인 필요",X
STC,상,159,SAFETY LIGHT CURTAIN 09 ACT ON,"LIGHT CURTAIN 관련, 육안 확인 필요",X
STC,상,160,SAFETY LIGHT CURTAIN 10 ACT ON,"LIGHT CURTAIN 관련, 육안 확인 필요",X
STC,상,161,SAFETY LIGHT CURTAIN 11 ACT ON,"LIGHT CURTAIN 관련, 육안 확인 필요",X
STC,상,162,SAFETY LIGHT CURTAIN 12 ACT ON,"LIGHT CURTAIN 관련, 육안 확인 필요",X
STC,상,163,SAFETY LIGHT CURTAIN 13 ACT ON,"LIGHT CURTAIN 관련, 육안 확인 필요",X
STC,상,164,SAFETY LIGHT CURTAIN 14 ACT ON,"LIGHT CURTAIN 관련, 육안 확인 필요",X
STC,상,165,SAFETY LIGHT CURTAIN 15 ACT ON,"LIGHT CURTAIN 관련, 육안 확인 필요",X
STC,상,166,SAFETY LIGHT CURTAIN 16 ACT ON,"LIGHT CURTAIN 관련, 육안 확인 필요",X
STC,상,167,SAFETY LIGHT CURTAIN 17 ACT ON,"LIGHT CURTAIN 관련, 육안 확인 필요",X
STC,상,168,SAFETY LIGHT CURTAIN 18 ACT ON,"LIGHT CURTAIN 관련, 육안 확인 필요",X
STC,상,169,SAFETY LIGHT CURTAIN 19 ACT ON,"LIGHT CURTAIN 관련, 육안 확인 필요",X
STC,상,170,SAFETY LIGHT CURTAIN 20 ACT ON,"LIGHT CURTAIN 관련, 육안 확인 필요",X
STC,상,171,SAFETY LIGHT CURTAIN 21 ACT ON,"LIGHT CURTAIN 관련, 육안 확인 필요",X
STC,상,172,SAFETY LIGHT CURTAIN 22 ACT ON,"LIGHT CURTAIN 관련, 육안 확인 필요",X
STC,상,173,SAFETY LIGHT CURTAIN 23 ACT ON,"LIGHT CURTAIN 관련, 육안 확인 필요",X
STC,상,174,SAFETY LIGHT CURTAIN 24 ACT ON,"LIGHT CURTAIN 관련, 육안 확인 필요",X
STC,상,175,SAFETY LIGHT CURTAIN 25 ACT ON,"LIGHT CURTAIN 관련, 육안 확인 필요",X
STC,상,176,SAFETY LIGHT CURTAIN 26 ACT ON,"LIGHT CURTAIN 관련, 육안 확인 필요",X
STC,상,177,SAFETY LIGHT CURTAIN 27 ACT ON,"LIGHT CURTAIN 관련, 육안 확인 필요",X
STC,상,178,SAFETY LIGHT CURTAIN 28 ACT ON,"LIGHT CURTAIN 관련, 육안 확인 필요",X
STC,상,179,SAFETY LIGHT CURTAIN 29 ACT ON,"LIGHT CURTAIN 관련, 육안 확인 필요",X
STC,상,180,SAFETY LIGHT CURTAIN 30 ACT ON,"LIGHT CURTAIN 관련, 육안 확인 필요",X
STC,상,181,SAFETY GATE 01 OPENED,"SAFETY 관련, 육안 확인 필요",X
STC,상,182,SAFETY GATE 02 OPENED,"SAFETY 관련, 육안 확인 필요",X
STC,상,183,SAFETY GATE 03 OPENED,"SAFETY 관련, 육안 확인 필요",X
STC,상,184,SAFETY GATE 04 OPENED,"SAFETY 관련, 육안 확인 필요",X
STC,상,185,SAFETY GATE 05 OPENED,"SAFETY 관련, 육안 확인 필요",X
STC,상,186,SAFETY GATE 06 OPENED,"SAFETY 관련, 육안 확인 필요",X
STC,상,187,SAFETY GATE 07 OPENED,"SAFETY 관련, 육안 확인 필요",X
STC,상,188,SAFETY GATE 08 OPENED,"SAFETY 관련, 육안 확인 필요",X
STC,상,189,SAFETY GATE 09 OPENED,"SAFETY 관련, 육안 확인 필요",X
STC,상,190,SAFETY GATE 10 OPENED,"SAFETY 관련, 육안 확인 필요",X
STC,상,201,MCCB TRIP - TRAVEL INVERTER,"전기적 TRIP, SW 조치 불가",X
STC,상,202,MCCB TRIP - TRAVEL 2 INVERTER,"전기적 TRIP, SW 조치 불가",X
STC,상,203,MCCB TRIP - HOIST INVERTER,"전기적 TRIP, SW 조치 불가",X
STC,상,204,MCCB TRIP - HOIST 2 INVERTER,"전기적 TRIP, SW 조치 불가",X
STC,상,205,MCCB TRIP - FORK INVERTER,"전기적 TRIP, SW 조치 불가",X
STC,상,206,MCCB TRIP - FORK2 INVERTER,"전기적 TRIP, SW 조치 불가",X
STC,상,207,MCCB TRIP - CARRIIAGE,"전기적 TRIP, SW 조치 불가",X
STC,상,211,CP TRIP - TRAVEL 1 MOTOR BRAKE,"전기적 TRIP, SW 조치 불가",X
STC,상,212,CP TRIP - TRAVEL 2 MOTOR BRAKE,"전기적 TRIP, SW 조치 불가",X
STC,상,213,CP TRIP - HOIST 1 MOTOR BRAKE,"전기적 TRIP, SW 조치 불가",X
STC,상,214,CP TRIP - HOIST 2 MOTOR BRAKE,"전기적 TRIP, SW 조치 불가",X
STC,상,215,CP TRIP - FORK 1 MOTOR BRAKE,"전기적 TRIP, SW 조치 불가",X
STC,상,216,CP TRIP - FORK 2 MOTOR BRAKE,"전기적 TRIP, SW 조치 불가",X
STC,상,221,CP TRIP - CP 01,"전기적 TRIP, SW 조치 불가",X
STC,상,222,CP TRIP - CP 02,"전기적 TRIP, SW 조치 불가",X
STC,상,223,CP TRIP - CP 03,"전기적 TRIP, SW 조치 불가",X
STC,상,224,CP TRIP - CP 04,"전기적 TRIP, SW 조치 불가",X
STC,상,225,CP TRIP - CP 05,"전기적 TRIP, SW 조치 불가",X
STC,상,226,CP TRIP - CP 06,"전기적 TRIP, SW 조치 불가",X
STC,상,227,CP TRIP - CP 07,"전기적 TRIP, SW 조치 불가",X
STC,상,228,CP TRIP - CP 08,"전기적 TRIP, SW 조치 불가",X
STC,상,229,CP TRIP - CP 09,"전기적 TRIP, SW 조치 불가",X
STC,상,230,CP TRIP - CP 10,"전기적 TRIP, SW 조치 불가",X
STC,상,231,CP TRIP - CP 11,"전기적 TRIP, SW 조치 불가",X
STC,상,232,CP TRIP - CP 12,"전기적 TRIP, SW 조치 불가",X
STC,상,233,CP TRIP - CP 13,"전기적 TRIP, SW 조치 불가",X
STC,상,234,CP TRIP - CP 14,"전기적 TRIP, SW 조치 불가",X
STC,상,235,CP TRIP - CP 15,"전기적 TRIP, SW 조치 불가",X
STC,상,236,CP TRIP - CP 16,"전기적 TRIP, SW 조치 불가",X
STC,상,237,CP TRIP - CP 17,"전기적 TRIP, SW 조치 불가",X
STC,상,238,CP TRIP - CP 18,"전기적 TRIP, SW 조치 불가",X
STC,상,239,CP TRIP - CP 19,"전기적 TRIP, SW 조치 불가",X
STC,상,240,CP TRIP - CP 20,"전기적 TRIP, SW 조치 불가",X
STC,하,241,PENDANT CONDITION ERROR,PENDANT 통신 RETRY,O
STC,중,301,TRAVEL 1 LASER MEASURER ERROR,"센서 측정 이상, RETRY",O
STC,중,302,TRAVEL 1 LASER DATA ERROR,"센서 측정 이상, RETRY",X
STC,중,309,TRAVEL 1 HOME REFERENCE CONDITION ERROR,"HOME 관련, 육안 확인 필요",X
STC,중,311,TRAVEL 1 INPOSITION ERROR,RETRY,O
STC,중,313,AXIS INTERLOCK ERROR IN TRAVELING,주행 중 축 이상,X
STC,중,314,FORK 1 CONDITION ERROR IN TRAVELING,FOLDING RETRY,O
STC,중,315,FORK 2 CONDITION ERROR IN TRAVELING,FOLDING RETRY,O
STC,중,316,TRAVEL 1 TRAVELING TIME OVER,RETRY,O
STC,중,321,TRAVEL1 MOTOR OVER CURRENT,과전류,X
STC,중,322,TRAVEL1 MOTOR ENCODER ERROR,"엔코더 이상, 육안 확인 필요",X
STC,상,323,TRAVEL1 INVERTER COMMUCATION ERROR,통신 RETRY,X
STC,중,324,TRAVEL1 SPEED ERROR,SPEED SETTING RETRY,O
STC,중,325,TRAVEL1 SPEED FOLLOWING ERROR,RETRY,X
STC,상,330,TRAVEL1 INVERTER ERROR,원인이 다양,X
STC,중,351,TRAVEL 2 LASER MEASURER ERROR,"센서 측정 이상, RETRY",O
STC,중,352,TRAVEL 2 LASER DATA ERROR,"센서 측정 이상, RETRY",X
STC,중,359,TRAVEL 2 HOME REFERENCE CONDITION ERROR,"HOME 관련, 육안 확인 필요",X
STC,중,361,TRAVEL 2 INPOSITION ERROR,RETRY,O
STC,중,366,TRAVEL 2 TRAVELING TIME OVER,RETRY,O
STC,중,371,TRAVEL 2 MOTOR OVER CURRENT,과전류,X
STC,중,372,TRAVEL 2 MOTOR ENCODER ERROR,"엔코더 이상, 육안 확인 필요",X
STC,상,373,TRAVEL 2 INVERTER COMMUCATION ERROR,통신 RETRY,X
STC,중,374,TRAVEL 2 SPEED ERROR,SPEED SETTING RETRY,O
STC,중,375,TRAVEL 2 SPEED FOLLOWING ERROR,RETRY,X
STC,상,380,TRAVEL 2 INVERTER ERROR,원인이 다양,X
STC,중,401,LINEAR SCALE SENSOR ERROR,"센서 측정 이상, RETRY",O
STC,중,402,LINEAR SCALE COUNT VALUE ERROR,"센서 측정 이상, RETRY",O
STC,중,403,HOIST1 POSITION VALUE ERROR,CMD가 이상한건지 확인필요,△
STC,중,407,WCS CONDITION ERROR,통신 RETRY,O
STC,중,408,WCS DATA VALUE ERROR,RETRY,O
STC,중,409,HOIST 1 HOME REFERENCE CONDITION ERROR,"HOME 관련, 육안 확인 필요",X
STC,중,411,HOIST 1 INPOSITION ERROR,RETRY,O
STC,상,413,AXIS INTERLOCK ERROR IN HOISTING,HOIST 이동 중 축 이상,X
STC,중,414,FORK 1 CONDITION ERROR IN HOISTING,FOLDING RETRY,O
STC,중,415,FORK 2 CONDITION ERROR IN HOISTING,FOLDING RETRY,O
STC,중,416,HOIST 1 HOISTING TIME OVER,RETRY,O
STC,상,417,HOIST 1 OVERWEIGHT,무게 오버,△
STC,중,421,HOIST 1 MOTOR OVER CURRENT,과전류,X
STC,중,422,HOIST 1 MOTOR ENCODER ERROR,"엔코더 이상, 육안 확인 필요",X
STC,상,423,HOIST 1 INVERTER COMMUCATION ERROR,통신 RETRY,X
STC,중,424,HOIST 1 MOTOR SPEED ERROR,SPEED SETTING RETRY,O
STC,중,425,HOIST 1 MOTOR SPEED FOLLOWING ERROR,인버터 출력만큼 모터 구동이 동작하지 않음,X
STC,상,430,HOIST 1 INVERTER ERROR,인버터 에러,X
STC,중,453,HOIST 2 POSITION VALUE ERROR,CMD가 이상한건지 확인필요,△
STC,중,459,HOIST 2 HOME REFERENCE CONDITION ERROR,"HOME 관련, 육안 확인 필요",X
STC,중,461,HOIST 2 INPOSITION ERROR,RETRY,O
STC,중,466,HOIST 2 HOISTING TIME OVER,RETRY,O
STC,상,467,HOIST 2 OVERWEIGHT,무게 오버,△
STC,중,471,HOIST 2 MOTOR OVER CURRENT,과전류,X
STC,중,472,HOIST 2 MOTOR ENCODER ERROR,"엔코더 이상, 육안 확인 필요",X
STC,상,473,HOIST 2 INVERTER COMMUCATION ERROR,통신 RETRY,O
STC,중,474,HOIST 2 MOTOR SPEED ERROR,SPEED SETTING RETRY,O
STC,중,475,HOIST 2 MOTOR SPEED FOLLOWING ERROR,인버터 출력만큼 모터 구동이 동작하지 않음,X
STC,상,480,HOIST 2 INVERTER ERROR,인버터 에러,X
STC,중,501,FORK 1 HOME REFERENCE CONDITION ERROR,"HOME 관련, 육안 확인 필요",X
STC,상,502,FORK 1 LOAD FWD COLLAPSED,포크 내 화물 정위치 센서 불량,X
STC,상,503,FORK 1 LOAD BWD COLLAPSED,포크 내 화물 정위치 센서 불량,X
STC,상,504,FORK 1 LOAD LEFT COLLAPSED,포크 내 화물 정위치 센서 불량,X
STC,상,505,FORK 1 LOAD RIGHT COLLAPSED,포크 내 화물 정위치 센서 불량,X
STC,상,506,FORK 1 LOAD HEIGHT OVER,포크 내 화물 정위치 센서 불량,△
STC,중,507,FORK 1 LEFT END SENSOR CONDITION ERROR,센서 상태 이상,X
STC,중,508,FORK 1 LEFT DECEL SENSOR CONDITION ERROR,센서 상태 이상,X
STC,중,509,FORK 1 RIGHT DECEL SENSOR CONDITION ERROR,센서 상태 이상,X
STC,중,510,FORK 1 RIGHT END SENSOR CONDITION ERROR,센서 상태 이상,X
STC,중,511,FORK 1 LOAD DETECT SENSOR ERROR,센서 상태 이상,X
STC,상,512,FORK 1 LOAD LEFT COLLAPSED CHECK SENSOR CONDITION ERROR,센서 상태 이상,X
STC,상,513,FORK 1 LOAD RIGHT COLLAPSED CHECK SENSOR CONDITION ERROR,센서 상태 이상,X
