EQUIPMENT,IMPORTANCE,ERR_CODE,DESCRIPTION,PROCESS_METHOD,RESET_AVAILABLE
CNV,중,1,输送卡胎,,
CNV,상,2,隔离断开,,
CNV,상,3,断路保护,,
CNV,하,4,后隔离断开,,
CNV,상,5,后断路保护,,
CNV,중,6,摆出异常,,
CNV,하,7,占位连胎,,
CNV,하,8,取拆丢胎,,
CNV,하,9,抱胎异常,,
CNV,하,10,检测超时,,
CNV,하,11,变频故障,,
CNV,하,12,对准超时,,
CNV,하,21,运行超时,,
CNV,하,22,上升超时,,
CNV,하,23,下降超时,,
CNV,하,24,隔离异常,,
CNV,하,25,空开异常,,
CNV,하,26,定位超时,,
CNV,하,27,检测异常,,
CNV,하,28,等待超时,,
CNV,하,29,超限异常,,
CNV,하,30,对准异常,,
CNV,하,31,比对异常,,
CNV,하,32,急停故障,,
CNV,하,33,正向极限,,
CNV,하,34,反向极限,,
CNV,하,35,变频故障,,
CNV,하,40,前端超出,,
CNV,하,41,后端超出,,
CNV,하,42,左侧超出,,
CNV,하,43,右侧超出,,
CNV,하,44,顶面超出,,
CNV,하,45,前后超出,,
CNV,하,46,左右超出,,
CNV,하,47,前左超出,,
CNV,하,48,前右超出,,
CNV,하,49,前高超出,,
CNV,하,50,后左超出,,
CNV,하,51,后右超出,,
CNV,하,52,后高超出,,
CNV,하,53,左高超出,,
CNV,하,54,右高超出,,
CNV,하,55,前后左超出,,
CNV,하,56,前后右超出,,
CNV,하,57,前后高超出,,
CNV,하,58,后左右超出,,
CNV,하,59,后左高超出,,
CNV,하,60,后右高超出,,
CNV,하,61,左右高超出,,
CNV,하,62,前后左右超出,,
CNV,하,63,前后左高超出,,
CNV,하,64,前后右高超出,,
CNV,하,65,后左右高超出,,
CNV,하,66,前后左右高超出,,
CNV,하,71,左叉伸出超时,,
CNV,하,72,左叉收回超时,,
CNV,하,73,右叉伸出超时,,
CNV,하,74,右叉收回超时,,
CNV,하,75,上升超时,,
CNV,하,76,下降超时,,
CNV,하,77,数据异常,,
CNV,하,78,检测异常,,
CNV,하,79,前占异常,,
CNV,하,80,后占异常,,
CNV,하,81,对准异常,,
CNV,하,82,急停故障,,
CNV,하,83,上限位极限,,
CNV,하,84,下限位极限,,
CNV,하,85,超高异常,,
CNV,하,91,二维龙门急停,,
CNV,하,92,X轴伺服报警,,
CNV,하,93,Z轴伺服报警,,
CNV,하,94,抓手伺服报警,,
CNV,하,95,伺服未回零报警,,
CNV,하,96,超时报警,,
CNV,하,97,任务数据错误报警,,
STC,상,1,LV1: 急停按钮被触碰 (GP),按下EMG（紧急停止）按钮,X
STC,상,2,LV1: 急停按钮被触碰 (MP),按下EMG（紧急停止）按钮,X
STC,상,3,LV1: 急停按钮被触碰 (PEN),按下EMG（紧急停止）按钮,X
STC,하,5,LV1: 设备自动状态下没启动运行,动作完成前手动/自动变更,O
STC,중,11,LV1: 1号行走前进方向行程开关被触动,检测限量传感器，需要肉眼确认,X
STC,중,12,LV1: 1号行走 后退限位被触发,检测限量传感器，需要肉眼确认,X
STC,중,13,LV1: 2号行走前进方向行程开关被触动,检测限量传感器，需要肉眼确认,X
STC,중,14,LV1: 2号行走 后退限位被触发,检测限量传感器，需要肉眼确认,X
STC,중,15,LV1: 1号行走 向前时高速切换位置数值不匹配,需要确认速度断开设置,X
STC,중,16,LV1: 1号行走 后退时高速切换位置值不匹配,需要确认速度断开设置,X
STC,중,17,LV1: 2号行走 向前时高速切换位置数值不匹配,需要确认速度断开设置,X
STC,중,18,LV1: 2号行走 后退时高速切换位置值不匹配,需要确认速度断开设置,X
STC,중,19,LV1: 1号货叉 原点位置数值不匹配,基本位置异常，有碰撞危险，需要确认,X
STC,중,20,LV1: 2号货叉 原点位置数值不匹配,基本位置异常，有碰撞危险，需要确认,X
STC,중,21,LV1: 1号载货台上升限位被触发,检测限量传感器，需要肉眼确认,X
STC,중,22,LV1: 1号载货台下降限位被触发,检测限量传感器，需要肉眼确认,X
STC,중,25,LV1: 1号载货台上升高速切换位置数值不匹配,需要确认速度断开设置,X
STC,중,26,LV1: 1号载货台高速切换位置数值不匹配,需要确认速度断开设置,X
STC,중,27,LV1: 2号载货台上升高速切换位置数值不匹配,需要确认速度断开设置,X
STC,중,28,LV1: 2号载货台高速切换位置数值不匹配,需要确认速度断开设置,X
STC,중,29,LV1: 1号行走原点位置数值不匹配,基本位置异常，有碰撞危险，需要确认,X
STC,중,30,LV1: 2号行走原点位置数值不匹配,基本位置异常，有碰撞危险，需要确认,X
